pollster,end_date,region,LPC,CPC,NDP,BQ,GPC,PPC,OTH,sample_size,mode
Liaison Strategies,2025-04-27,NAT,43,41,7,6,1,1,1,1000,IVR
Forum Research,2025-04-27,NAT,43,39,8,6,2,1,1,1153,
Nanos Research,2025-04-27,NAT,42.6,39.9,7.8,6.4,1.9,1.1,0,863,telephone
Research Co.,2025-04-27,NAT,44,39,7,6,2,1,1,1019,online
Mainstreet Research,2025-04-27,NAT,44,41,6,6,1,1,1,2000,IVR
Abacus Data,2025-04-27,NAT,41,39,10,6,1,3,0,2500,online
Ekos,2025-04-27,NAT,43.6,37.5,9.2,4.4,2,2,1,1805,telephone/online
Pallas Data,2025-04-26,NAT,43.2,38.8,7.3,6.4,2.3,0.9,1.0,1294,IVR
Innovative Research,2025-04-26,NAT,41,37,11,6,3,2,0,1587,online
MQO Research,2025-04-26,NAT,43,38,10,5,3,1,0,2236,
Angus Reid,2025-04-26,NAT,44,40,6,7,1,0,1,2820,
Ipsos,2025-04-26,NAT,42,38,9,6,2,1,1,2500,telephone/online
Leger,2025-04-25,NAT,43,39,8,6,2,1,1,1502,online
YouGov (MRP),2025-04-25,NAT,42,39,10,5,2,2,1,5964,
Pollara,2025-04-24,NAT,41,38,10,6,2,2,1,2382,telephone/online
Focaldata,2025-04-23,NAT,40.5,37.5,10.7,6.5,2.1,2.4,0.2,2826,online
Cardinal Research,2025-04-23,NAT,44,39,7,7,2,0,1,4057,IVR
