riding_id,riding_name,province,party,votes
10001,Avalon,NL,LPC,17916
10001,Avalon,NL,CPC,11636
10001,Avalon,NL,NDP,5019
10001,Avalon,NL,BQ,0
10001,Avalon,NL,GPC,0
10001,Avalon,NL,PPC,643
10001,Avalon,NL,OTH,0
10002,Cape Spear,NL,LPC,19467
10002,Cape Spear,NL,CPC,7250
10002,Cape Spear,NL,NDP,8227
10002,Cape Spear,NL,BQ,0
10002,Cape Spear,NL,GPC,0
10002,Cape Spear,NL,PPC,631
10002,Cape Spear,NL,OTH,0
10003,Central Newfoundland,NL,LPC,14646
10003,Central Newfoundland,NL,CPC,14927
10003,Central Newfoundland,NL,NDP,2261
10003,Central Newfoundland,NL,BQ,0
10003,Central Newfoundland,NL,GPC,0
10003,Central Newfoundland,NL,PPC,0
10003,Central Newfoundland,NL,OTH,0
10004,Labrador,NL,LPC,4119
10004,Labrador,NL,CPC,2930
10004,Labrador,NL,NDP,2297
10004,Labrador,NL,BQ,0
10004,Labrador,NL,GPC,0
10004,Labrador,NL,PPC,307
10004,Labrador,NL,OTH,0
10005,Long Range Mountains,NL,LPC,16178
10005,Long Range Mountains,NL,CPC,14344
10005,Long Range Mountains,NL,NDP,4347
10005,Long Range Mountains,NL,BQ,0
10005,Long Range Mountains,NL,GPC,0
10005,Long Range Mountains,NL,PPC,1578
10005,Long Range Mountains,NL,OTH,0
10006,St. John's East,NL,LPC,16741
10006,St. John's East,NL,CPC,6709
10006,St. John's East,NL,NDP,12920
10006,St. John's East,NL,BQ,0
10006,St. John's East,NL,GPC,0
10006,St. John's East,NL,PPC,718
10006,St. John's East,NL,OTH,0
10007,Terra Nova—The Peninsulas,NL,LPC,15173
10007,Terra Nova—The Peninsulas,NL,CPC,12986
10007,Terra Nova—The Peninsulas,NL,NDP,2673
10007,Terra Nova—The Peninsulas,NL,BQ,0
10007,Terra Nova—The Peninsulas,NL,GPC,0
10007,Terra Nova—The Peninsulas,NL,PPC,1272
10007,Terra Nova—The Peninsulas,NL,OTH,0
11001,Cardigan,PE,LPC,10955
11001,Cardigan,PE,CPC,6697
11001,Cardigan,PE,NDP,2117
11001,Cardigan,PE,BQ,0
11001,Cardigan,PE,GPC,1042
11001,Cardigan,PE,PPC,711
11001,Cardigan,PE,OTH,143
11002,Charlottetown,PE,LPC,8919
11002,Charlottetown,PE,CPC,5932
11002,Charlottetown,PE,NDP,2048
11002,Charlottetown,PE,BQ,0
11002,Charlottetown,PE,GPC,1832
11002,Charlottetown,PE,PPC,369
11002,Charlottetown,PE,OTH,0
11003,Egmont,PE,LPC,9506
11003,Egmont,PE,CPC,6422
11003,Egmont,PE,NDP,1790
11003,Egmont,PE,BQ,0
11003,Egmont,PE,GPC,1948
11003,Egmont,PE,PPC,1026
11003,Egmont,PE,OTH,0
11004,Malpeque,PE,LPC,9667
11004,Malpeque,PE,CPC,7622
11004,Malpeque,PE,NDP,1847
11004,Malpeque,PE,BQ,0
11004,Malpeque,PE,GPC,3226
11004,Malpeque,PE,PPC,642
11004,Malpeque,PE,OTH,2
12001,Acadie—Annapolis,NS,LPC,12342
12001,Acadie—Annapolis,NS,CPC,20634
