riding_id,riding_name,province,party,votes
10001,Avalon,NL,LPC,27563
10001,Avalon,NL,CPC,16953
10001,Avalon,NL,NDP,2284
10001,Avalon,NL,BQ,0
10001,Avalon,NL,GPC,0
10001,Avalon,NL,PPC,0
10001,Avalon,NL,OTH,230
10002,Cape Spear,NL,LPC,31388
10002,Cape Spear,NL,CPC,11844
10002,Cape Spear,NL,NDP,2446
10002,Cape Spear,NL,BQ,0
10002,Cape Spear,NL,GPC,140
10002,Cape Spear,NL,PPC,0
10002,Cape Spear,NL,OTH,170
10003,Central Newfoundland,NL,LPC,17696
10003,Central Newfoundland,NL,CPC,21975
10003,Central Newfoundland,NL,NDP,965
10003,Central Newfoundland,NL,BQ,0
10003,Central Newfoundland,NL,GPC,0
10003,Central Newfoundland,NL,PPC,0
10003,Central Newfoundland,NL,OTH,0
10004,Labrador,NL,LPC,5811
10004,Labrador,NL,CPC,4709
10004,Labrador,NL,NDP,764
10004,Labrador,NL,BQ,0
10004,Labrador,NL,GPC,0
10004,Labrador,NL,PPC,0
10004,Labrador,NL,OTH,0
10005,Long Range Mountains,NL,LPC,19726
10005,Long Range Mountains,NL,CPC,23232
10005,Long Range Mountains,NL,NDP,2011
10005,Long Range Mountains,NL,BQ,0
10005,Long Range Mountains,NL,GPC,0
10005,Long Range Mountains,NL,PPC,537
10005,Long Range Mountains,NL,OTH,637
10006,St. John's East,NL,LPC,28681
10006,St. John's East,NL,CPC,11941
10006,St. John's East,NL,NDP,5172
10006,St. John's East,NL,BQ,0
10006,St. John's East,NL,GPC,159
10006,St. John's East,NL,PPC,0
10006,St. John's East,NL,OTH,98
10007,Terra Nova--The Peninsulas,NL,LPC,19593
10007,Terra Nova--The Peninsulas,NL,CPC,19605
10007,Terra Nova--The Peninsulas,NL,NDP,1677
10007,Terra Nova--The Peninsulas,NL,BQ,0
10007,Terra Nova--The Peninsulas,NL,GPC,0
10007,Terra Nova--The Peninsulas,NL,PPC,0
10007,Terra Nova--The Peninsulas,NL,OTH,0
11001,Cardigan,PE,LPC,14404
11001,Cardigan,PE,CPC,9442
11001,Cardigan,PE,NDP,505
11001,Cardigan,PE,BQ,0
11001,Cardigan,PE,GPC,326
11001,Cardigan,PE,PPC,180
11001,Cardigan,PE,OTH,404
11002,Charlottetown,PE,LPC,13656
11002,Charlottetown,PE,CPC,6139
11002,Charlottetown,PE,NDP,906
11002,Charlottetown,PE,BQ,0
11002,Charlottetown,PE,GPC,257
11002,Charlottetown,PE,PPC,131
11002,Charlottetown,PE,OTH,0
11003,Egmont,PE,LPC,12466
11003,Egmont,PE,CPC,10419
11003,Egmont,PE,NDP,585
11003,Egmont,PE,BQ,0
11003,Egmont,PE,GPC,538
11003,Egmont,PE,PPC,0
11003,Egmont,PE,OTH,0
11004,Malpeque,PE,LPC,15485
